region_code,weather_param,year,key,value
Max temp,Max temp,1933,JAN,4.7,
Max temp,Max temp,1933,FEB,6.2,
Max temp,Max temp,1933,MAR,10.6,
Max temp,Max temp,1933,APR,12.0,
Max temp,Max temp,1933,MAY,14.8,
Max temp,Max temp,1933,JUN,19.0,
Max temp,Max temp,1933,JUL,20.9,
Max temp,Max temp,1933,AUG,20.6,
Max temp,Max temp,1933,SEP,18.3,
Max temp,Max temp,1933,OCT,12.4,
Max temp,Max temp,1933,NOV,7.7,
Max temp,Max temp,1933,DEC,4.2,
Max temp,Max temp,1933,WIN,6.09,
Max temp,Max temp,1933,SPR,2.44,
Max temp,Max temp,1933,SUM,0.19,
Max temp,Max temp,1933,AUT,2.81,
Max temp,Max temp,1933,ANN,2.65,
Max temp,Max temp,1934,JAN,6.9,
Max temp,Max temp,1934,FEB,7.1,
Max temp,Max temp,1934,MAR,7.6,
Max temp,Max temp,1934,APR,10.2,
Max temp,Max temp,1934,MAY,14.5,
Max temp,Max temp,1934,JUN,18.3,
Max temp,Max temp,1934,JUL,21.5,
Max temp,Max temp,1934,AUG,18.2,
Max temp,Max temp,1934,SEP,17.4,
Max temp,Max temp,1934,OCT,12.3,
Max temp,Max temp,1934,NOV,8.0,
Max temp,Max temp,1934,DEC,8.9,
Max temp,Max temp,1934,WIN,6.06,
Max temp,Max temp,1934,SPR,0.77,
Max temp,Max temp,1934,SUM,9.35,
Max temp,Max temp,1934,AUT,2.59,
Max temp,Max temp,1934,ANN,2.63,
Max temp,Max temp,1935,JAN,6.5,
Max temp,Max temp,1935,FEB,7.4,
Max temp,Max temp,1935,MAR,9.2,
Max temp,Max temp,1935,APR,10.6,
Max temp,Max temp,1935,MAY,13.9,
Max temp,Max temp,1935,JUN,17.4,
Max temp,Max temp,1935,JUL,20.3,
Max temp,Max temp,1935,AUG,20.0,
Max temp,Max temp,1935,SEP,15.9,
Max temp,Max temp,1935,OCT,11.7,
Max temp,Max temp,1935,NOV,8.5,
Max temp,Max temp,1935,DEC,4.7,
Max temp,Max temp,1935,WIN,7.62,
Max temp,Max temp,1935,SPR,1.23,
Max temp,Max temp,1935,SUM,9.28,
Max temp,Max temp,1935,AUT,2.06,
Max temp,Max temp,1935,ANN,2.21,
Max temp,Max temp,1936,JAN,5.2,
Max temp,Max temp,1936,FEB,4.8,
Max temp,Max temp,1936,MAR,8.9,
Max temp,Max temp,1936,APR,9.4,
Max temp,Max temp,1936,MAY,14.7,
Max temp,Max temp,1936,JUN,17.9,
Max temp,Max temp,1936,JUL,17.7,
Max temp,Max temp,1936,AUG,19.1,
Max temp,Max temp,1936,SEP,16.7,
Max temp,Max temp,1936,OCT,12.3,
Max temp,Max temp,1936,NOV,8.0,
Max temp,Max temp,1936,DEC,7.4,
Max temp,Max temp,1936,WIN,4.89,
Max temp,Max temp,1936,SPR,1.02,
Max temp,Max temp,1936,SUM,8.25,
Max temp,Max temp,1936,AUT,2.33,
Max temp,Max temp,1936,ANN,1.87,
Max temp,Max temp,1937,JAN,6.9,
Max temp,Max temp,1937,FEB,6.7,
Max temp,Max temp,1937,MAR,5.6,
Max temp,Max temp,1937,APR,11.4,
Max temp,Max temp,1937,MAY,15.3,
Max temp,Max temp,1937,JUN,17.0,
Max temp,Max temp,1937,JUL,18.4,
Max temp,Max temp,1937,AUG,19.9,
Max temp,Max temp,1937,SEP,16.2,
Max temp,Max temp,1937,OCT,12.7,
Max temp,Max temp,1937,NOV,7.9,
Max temp,Max temp,1937,DEC,4.8,
Max temp,Max temp,1937,WIN,7.01,
Max temp,Max temp,1937,SPR,0.73,
Max temp,Max temp,1937,SUM,8.44,
Max temp,Max temp,1937,AUT,2.27,
Max temp,Max temp,1937,ANN,1.92,
Max temp,Max temp,1938,JAN,7.4,
Max temp,Max temp,1938,FEB,7.0,
Max temp,Max temp,1938,MAR,11.9,
Max temp,Max temp,1938,APR,11.5,
Max temp,Max temp,1938,MAY,13.7,
Max temp,Max temp,1938,JUN,16.8,
Max temp,Max temp,1938,JUL,17.7,
Max temp,Max temp,1938,AUG,18.9,
Max temp,Max temp,1938,SEP,16.5,
Max temp,Max temp,1938,OCT,12.6,
Max temp,Max temp,1938,NOV,10.6,
Max temp,Max temp,1938,DEC,6.1,
Max temp,Max temp,1938,WIN,6.37,
Max temp,Max temp,1938,SPR,2.37,
Max temp,Max temp,1938,SUM,7.79,
Max temp,Max temp,1938,AUT,3.23,
Max temp,Max temp,1938,ANN,2.59,
Max temp,Max temp,1939,JAN,5.6,
Max temp,Max temp,1939,FEB,7.8,
Max temp,Max temp,1939,MAR,8.2,
Max temp,Max temp,1939,APR,11.5,
Max temp,Max temp,1939,MAY,14.7,
Max temp,Max temp,1939,JUN,17.9,
Max temp,Max temp,1939,JUL,17.7,
Max temp,Max temp,1939,AUG,19.3,
Max temp,Max temp,1939,SEP,16.9,
Max temp,Max temp,1939,OCT,11.1,
Max temp,Max temp,1939,NOV,10.1,
Max temp,Max temp,1939,DEC,5.3,
Max temp,Max temp,1939,WIN,6.46,
Max temp,Max temp,1939,SPR,1.47,
Max temp,Max temp,1939,SUM,8.28,
Max temp,Max temp,1939,AUT,2.66,
Max temp,Max temp,1939,ANN,2.18,
Max temp,Max temp,1940,JAN,2.0,
